volgnr1z,buurtz,gebplmz,gebjrmz,relimz,bsmz,bersmz,berpmz,gebjrvz,gebplvaz,relivz,nrkindz,nrbodez,nrhgz,relhfdz,grondblz,pblz,patblz,totblz,jrhu1z,bervamz,bervavz,bermhuz,bervhuz,bergt1z,relgt1z,bergt2z,relgt2z,bergt3z,relgt3z,bergt4z,relgt4z,hugeldz,hulftaz,volgnr2z,hulftbz,bsvz,gebplvbz,vamasdz,pblvamz,vavasdz,pblvavz
200651,11,platteland Nederland,1845,Nederlands Hervormd,gehuwd,207,240,1850,steden Nederland,Nederlands Hervormd,1,3,0,-1,0,63,83,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200652,-1,-1,-1,-1,-1,-1,-1
200701,9,steden Nederland,1839,Nederlands Hervormd,gehuwd,61,ambachtsman,1836,Amsterdam,Nederlands Hervormd,3,1,1,ander familielid,35,87,11,133,1863,vader overleden,reiziger,ambachtsman,zonder,ambachtsman,broer/zwager vrouw,ambachtsman,broer/zwager vrouw,winkelier,broer/zwager vrouw,winkelier,geen familie,"f.4,-",24,200702,26,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
200751,8,Amsterdam,1848,Rooms Katholiek,ongehuwd,207,240,-1,-1,-1,0,1,0,-1,0,94,54,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200752,-1,-1,-1,-1,-1,-1,-1
200801,44,Amsterdam,1820,Nederlands Hervormd,gehuwd,warenhandel,koopman,1828,Duitsland,Nederlands Hervormd,0,0,2,ander familielid,0,93,77,169,1859,vader overleden,vader overleden,koopman,zonder,ambtenaar,broer/zwager vrouw,makelaar,geen familie,commissionair,geen familie,cargadoors,geen familie,"f.15,-",39,200802,31,3,Duitsland,buiten asd of dood,0,buiten asd of dood,0
200851,36,Amsterdam,1835,Nederlands Hervormd,gehuwd,chemische bedrijven,apotheker,1836,steden Nederland,Nederlands Hervormd,4,2,0,-1,121,86,38,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200852,-1,-1,-1,-1,-1,-1,-1
200901,22,Amsterdam,1834,Ned. Israelitisch,gehuwd,12,diamantbewerking,1834,Amsterdam,Ned. Israelitisch,2,1,0,-1,119,61,2,182,1857,koopman,slager,diamantbewerking,zonder,diamantbewerking,broer/zwager vrouw,diamantbewerking,broer/zwager vrouw,zonder,broer/zwager vrouw,diamantbewerking,geen familie,"f.4,-",23,200902,22,3,Amsterdam,in Amsterdam,999,in Amsterdam,0
200951,35,Amsterdam,1828,Rooms Katholiek,ongehuwd,warenhandel,koopman,-1,-1,-1,0,2,0,-1,0,259,0,259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200952,-1,-1,-1,-1,-1,-1,-1
201001,23,steden Nederland,1838,Ned. Israelitisch,gehuwd,304,hoogleraar,1839,Amsterdam,Ned. Israelitisch,4,3,0,-1,0,475,0,475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201002,-1,-1,-1,-1,-1,-1,-1
201051,23,Amsterdam,1822,Nederlands Hervormd,gehuwd,32,ambachtsman,1827,Amsterdam,Nederlands Hervormd,4,0,0,-1,100,54,38,192,1849,vader overleden,zonder,ambachtsman,zonder,ambachtsman,geen familie,koopman,geen familie,timmerman,geen familie,ambachtsman,geen familie,geen of onbekend,27,201052,23,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
201101,44,Amsterdam,1829,Nederlands Hervormd,gehuwd,overigen,"losse arb., venter",1845,Amsterdam,Evangelisch Luthers,7,0,0,-1,56,64,17,137,1858,vader overleden,"losse arb., venter","losse arb., venter",zonder,ambachtsman,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,"f.4,-",28,201102,26,3,platteland Nederland,buiten asd of dood,0,in Amsterdam,0
201151,23,Amsterdam,1825,Nederlands Hervormd,weduwnaar,303,rechter,1824,Amsterdam,Waals Hervormd,3,3,0,-1,130,210,0,340,1850,kantoorbediende,vader overleden,advocaat,zonder,lid Staten-Generaal,oom/neef man,koopman,broer/zwager man,ambtenaar,oom/neef vrouw,"ingenieur, architect",broer/zwager vrouw,geen of onbekend,24,201152,25,3,Amsterdam,in Amsterdam,0,buiten asd of dood,0
201201,26,steden Nederland,1846,Rooms Katholiek,gehuwd,warenhandel,koopman,1845,steden Nederland,Rooms Katholiek,4,1,0,-1,47,129,38,214,1877,240,koopman,koopman,zonder,ambtenaar,oom/neef man,koopman,broer/zwager vrouw,koopman,broer/zwager vrouw,koopman,geen familie,geen of onbekend,31,201202,32,3,steden Nederland,buiten asd of dood,0,in Amsterdam,0
201251,43,steden Nederland,1817,Nederlands Hervormd,gehuwd,verkeerswegen,directeur,1825,Amsterdam,Nederlands Hervormd,2,1,0,-1,57,178,0,235,1852,vader overleden,koopman,"ingenieur, architect",zonder,commissionair,broer/zwager vrouw,assuradeurs,geen familie,makelaar,geen familie,ambtenaar,broer/zwager man,"f.50,-",34,201252,27,3,Amsterdam,buiten asd of dood,0,in Amsterdam,0
201301,34,Amsterdam,1841,Rooms Katholiek,gehuwd,238,makelaar,1862,Amsterdam,Rooms Katholiek,2,1,0,-1,288,269,38,595,1881,vader overleden,winkelier,makelaar,zonder,koopman,oom/neef vrouw,winkelier,oom/neef vrouw,makelaar,broer/zwager man,notaris,geen familie,geen of onbekend,36,201302,18,3,Amsterdam,buiten asd of dood,0,in Amsterdam,376
201351,27,platteland Nederland,1838,Nederlands Hervormd,weduwnaar,202,stalhouder,1837,platteland Nederland,Nederlands Hervormd,4,1,0,-1,26,161,26,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201352,-1,-1,-1,-1,-1,-1,-1
201401,36,Amsterdam,1842,Nederlands Hervormd,weduwnaar,tussenhandel,commissionair,1849,steden Nederland,Nederlands Hervormd,4,3,0,-1,0,172,87,259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201402,-1,-1,-1,-1,-1,-1,-1
201451,49,steden Nederland,1832,Nederlands Hervormd,gehuwd,landbouw,landbouwer,1833,platteland Nederland,Nederlands Hervormd,6,0,2,geen familie,57,75,14,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201452,-1,-1,-1,-1,-1,-1,-1
201501,11,Amsterdam,1833,Nederlands Hervormd,gehuwd,aardewerk,ambachtsman,1835,Amsterdam,Nederlands Hervormd,0,1,1,ouder,64,53,19,135,1866,vader overleden,vader overleden,ambachtsman,naaister,kantoorbediende,broer/zwager man,ambachtsman,oom/neef vrouw,ambtenaar,geen familie,timmerman,geen familie,"f.4,-",31,201502,29,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
201551,27,Amsterdam,1858,Rooms Katholiek,gehuwd,168,slager,1855,platteland Nederland,Rooms Katholiek,0,1,0,-1,29,63,38,130,1882,slager,bakker,slager,zonder,zonder,oom/neef man,koopman,oom/neef man,bakker,broer/zwager vrouw,zonder,broer/zwager vrouw,geen of onbekend,23,201552,26,3,platteland Nederland,in Amsterdam,94,buiten asd of dood,0
201601,22,steden Nederland,1844,Nederlands Hervormd,gehuwd,warenhandel,koopman,1850,Amsterdam,Nederlands Hervormd,5,1,0,-1,26,93,113,232,1870,zonder,koopman,commissionair,zonder,kantoorbediende,broer/zwager man,predikant,oom/neef man,commissionair,oom/neef vrouw,boekhouder,geen familie,"f.25,-",25,201602,19,3,Amsterdam,in Amsterdam,58,in Amsterdam,120
201651,23,Amsterdam,1852,Nederlands Hervormd,gehuwd,239,commissionair,1858,Amsterdam,Nederlands Hervormd,1,0,0,-1,0,76,87,163,1881,commissionair,vader overleden,commissionair,zonder,ambtenaar,broer/zwager man,ambtenaar,broer/zwager man,ambachtsman,broer/zwager vrouw,vrij beroep,broer/zwager vrouw,geen of onbekend,28,201652,22,3,Amsterdam,in Amsterdam,76,buiten asd of dood,0
201701,28,platteland Nederland,1841,Nederlands Hervormd,gehuwd,vrije beroepen,arts,1841,platteland Nederland,Nederlands Hervormd,4,3,0,-1,0,190,87,277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201702,-1,-1,-1,-1,-1,-1,-1
201751,24,Amsterdam,1822,Rooms Katholiek,weduwnaar,zonder beroep,zonder,-1,-1,-1,1,1,1,ander familielid,42,143,0,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201752,-1,-1,-1,-1,-1,-1,-1
201801,4,steden Nederland,1850,Nederlands Hervormd,gehuwd,198,agent handelsmij.,1853,Amsterdam,Nederlands Hervormd,2,0,0,-1,0,80,38,118,1877,agent handelsmij.,winkelier,agent handelsmij.,zonder,fabrikanten,geen familie,zonder,geen familie,timmerman,geen familie,reiziger,geen familie,geen of onbekend,27,201802,24,3,Amsterdam,in Amsterdam,59,in Amsterdam,33
201851,22,Amsterdam,1840,Ned. Israelitisch,gehuwd,196,koopman,1840,steden Nederland,Ned. Israelitisch,5,3,1,ander familielid,0,171,64,235,1865,zonder,vader overleden,diamantbewerking,zonder,commissionair,broer/zwager vrouw,commissionair,broer/zwager vrouw,ambachtsman,geen familie,zonder,geen familie,"f.4,-",24,201852,25,3,steden Nederland,in Amsterdam,0,buiten asd of dood,0
201901,49,steden Nederland,1837,Nederlands Hervormd,gehuwd,metaalbewerking,fabrikanten,1841,steden Nederland,Nederlands Hervormd,3,1,0,-1,69,150,198,417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201902,-1,-1,-1,-1,-1,-1,-1
201951,20,Duitsland,1825,Nederlands Hervormd,gehuwd,239,commissionair,1830,steden Nederland,Nederlands Hervormd,5,1,0,-1,44,75,30,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201952,-1,-1,-1,-1,-1,-1,-1
202001,9,steden Nederland,1825,Rooms Katholiek,gehuwd,zonder beroep,zonder,1824,Amsterdam,Rooms Katholiek,2,0,0,-1,104,41,0,145,1852,vader overleden,vader overleden,bakker,zonder,winkelier,oom/neef vrouw,korenmeter,geen familie,bakker,geen familie,molenaar,geen familie,"f.4,-",26,202002,27,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
202051,42,platteland Nederland,1838,Nederlands Hervormd,ongehuwd,zonder beroep,zonder,-1,-1,-1,0,3,0,-1,0,166,0,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202052,-1,-1,-1,-1,-1,-1,-1
202101,25,Amsterdam,1859,Waals Hervormd,gehuwd,crediet,"bankiers, kassiers",1859,steden Nederland,Nederlands Hervormd,0,2,0,-1,0,197,0,197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202102,-1,-1,-1,-1,-1,-1,-1
202151,49,Amsterdam,1849,Ned. Israelitisch,gehuwd,239,commissionair,1856,Amsterdam,Port. Israelitisch,0,3,0,-1,52,148,113,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202152,-1,-1,-1,-1,-1,-1,-1
202201,22,steden Nederland,1825,Ned. Israelitisch,gehuwd,231,commissionair,1826,steden Nederland,Ned. Israelitisch,5,2,0,-1,0,104,87,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202202,-1,-1,-1,-1,-1,-1,-1
202251,28,Amsterdam,1823,Nederlands Hervormd,ongehuwd,238,makelaar,-1,-1,-1,0,0,0,-1,0,124,87,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202252,-1,-1,-1,-1,-1,-1,-1
202301,11,Amsterdam,1834,Nederlands Hervormd,gehuwd,224,assuradeurs,1839,overig buitenland,Rooms Katholiek,4,3,0,-1,0,83,68,151,1868,vader overleden,vader overleden,commissionair,eigen bedrijf,assuradeurs,broer/zwager vrouw,commissionair,geen familie,commissionair,geen familie,cargadoors,geen familie,"f.15,-",33,202302,32,3,Duitsland,buiten asd of dood,0,buiten asd of dood,0
202351,10,Amsterdam,1826,Port. Israelitisch,gehuwd,zonder beroep,zonder,1830,Amsterdam,Port. Israelitisch,5,0,0,-1,85,33,0,118,1851,ambachtsman,winkelier,ambachtsman,zonder,koopman,oom/neef man,zonder,geen familie,koopman,geen familie,ambachtsman,geen familie,geen of onbekend,24,202352,25,3,Amsterdam,in Amsterdam,0,in Amsterdam,0
202401,2,steden Nederland,1837,Ned. Israelitisch,gehuwd,gemeentedienst,ambtenaar,1848,steden Nederland,Ned. Israelitisch,4,1,0,-1,43,109,0,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202402,-1,-1,-1,-1,-1,-1,-1
202451,49,steden Nederland,1842,Nederlands Hervormd,gehuwd,207,240,1852,steden Nederland,Nederlands Hervormd,2,1,1,ander familielid,0,48,115,163,1867,koopman,koopman,timmerman,dienstbode,timmerman,broer/zwager man,timmerman,broer/zwager vrouw,timmerman,geen familie,ambachtsman,geen familie,"f.4,-",35,202452,24,3,steden Nederland,buiten asd of dood,0,buiten asd of dood,0
202501,40,Amsterdam,1827,Nederlands Hervormd,gehuwd,zonder beroep,zonder,1833,Amsterdam,Nederlands Hervormd,0,0,0,-1,131,15,0,146,1867,vader overleden,vader overleden,ambachtsman,zonder,zonder,broer/zwager vrouw,drogist,geen familie,kantoorbediende,geen familie,ambtenaar,geen familie,"f.4,-",30,202502,34,weduwe,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
202551,15,Amsterdam,1851,Nederlands Hervormd,gehuwd,238,makelaar,1857,platteland Nederland,Nederlands Hervormd,1,1,0,-1,0,66,64,130,1881,vader overleden,vrij beroep,makelaar,zonder,koopman,broer/zwager man,koopman,broer/zwager man,predikant,geen familie,koopman,broer/zwager man,geen of onbekend,30,202552,24,3,platteland Nederland,buiten asd of dood,0,in Amsterdam,0
202601,9,Amsterdam,1851,Rooms Katholiek,gehuwd,207,240,1849,platteland Nederland,Rooms Katholiek,6,2,0,-1,65,119,86,269,1873,boekhouder,vader overleden,winkelier,zonder,ambachtsman,oom/neef vrouw,winkelier,oom/neef man,winkelier,geen familie,ambtenaar,geen familie,"f.15,-",22,202602,24,3,platteland Nederland,in Amsterdam,93,buiten asd of dood,0
202651,34,Amsterdam,1820,Nederlands Hervormd,ongehuwd,zonder beroep,zonder,-1,-1,-1,0,1,0,-1,62,228,0,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202652,-1,-1,-1,-1,-1,-1,-1
202701,49,platteland Nederland,1840,Waals Hervormd,gehuwd,325,ambtenaar,1846,steden Nederland,Nederlands Hervormd,4,2,0,-1,0,122,0,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202702,-1,-1,-1,-1,-1,-1,-1
202751,8,Amsterdam,1838,Rooms Katholiek,gehuwd,207,240,1845,Amsterdam,Rooms Katholiek,7,2,0,-1,0,116,30,145,1862,ambachtsman,ambachtsman,240,zonder,240,broer/zwager man,ambachtsman,geen familie,timmerman,geen familie,fabrikanten,geen familie,"f.15,-",23,202752,24,3,Amsterdam,in Amsterdam,0,in Amsterdam,37
202801,35,Amsterdam,1826,Ned. Israelitisch,ongehuwd,239,commissionair,-1,-1,-1,0,1,0,-1,96,166,173,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202802,-1,-1,-1,-1,-1,-1,-1
202851,23,overig buitenland,1820,Rooms Katholiek,gehuwd,193,koopman,1822,Amsterdam,Rooms Katholiek,3,0,0,-1,94,47,47,188,1853,vader overleden,arts,winkelier,zonder,kantoorbediende,broer/zwager vrouw,zonder,oom/neef man,winkelier,geen familie,240,geen familie,"f.4,-",32,202852,31,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
202901,4,Amsterdam,1853,Nederlands Hervormd,gehuwd,warenhandel,winkelier,1857,Amsterdam,Nederlands Hervormd,5,2,0,-1,72,128,59,259,1877,winkelier,vader overleden,winkelier,zonder,winkelier,broer/zwager man,640,broer/zwager man,ambachtsman,broer/zwager vrouw,"ingenieur, architect",geen familie,geen of onbekend,23,202902,19,3,Amsterdam,in Amsterdam,72,buiten asd of dood,0
202951,25,Amsterdam,1840,Evangelisch Luthers,gehuwd,zonder beroep,zonder,1854,Amsterdam,Evangelisch Luthers,3,2,0,-1,115,457,0,572,1872,assuradeurs,suikerraffinadeurs,suikerraffinadeurs,zonder,assuradeurs,broer/zwager man,suikerraffinadeurs,broer/zwager man,koopman,broer/zwager man,hoogleraar,oom/neef vrouw,"f.50,-",31,202952,17,3,Amsterdam,in Amsterdam,344,in Amsterdam,745
203001,16,Amsterdam,1815,Ned. Israelitisch,gehuwd,warenhandel,drogist,1826,steden Nederland,Ned. Israelitisch,5,1,1,geen familie,36,76,14,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203002,-1,-1,-1,-1,-1,-1,-1
203051,27,Amsterdam,1843,Nederlands Hervormd,gehuwd,239,commissionair,1842,Amsterdam,Nederlands Hervormd,2,3,0,-1,52,83,26,161,1866,vader overleden,vader overleden,kantoorbediende,zonder,kantoorbediende,broer/zwager vrouw,kantoorbediende,oom/neef vrouw,zonder,broer/zwager man,winkelier,oom/neef man,"f.4,-",23,203052,24,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
203101,48,Amsterdam,1839,Doopsgezind,gehuwd,239,commissionair,1854,Amsterdam,Hersteld Luthers,2,1,0,-1,68,101,30,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203102,-1,-1,-1,-1,-1,-1,-1
203151,26,Amsterdam,1819,Rooms Katholiek,weduwnaar,zonder beroep,zonder,1822,Amsterdam,Rooms Katholiek,0,3,0,-1,68,166,0,234,1848,vader overleden,vader overleden,koopman,zonder,winkelier,broer/zwager man,koopman,broer/zwager man,zonder,geen familie,predikant,geen familie,geen of onbekend,29,203152,26,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
203201,43,Amsterdam,1818,Waals Hervormd,weduwnaar,warenhandel,koopman,1824,Amsterdam,Evangelisch Luthers,3,3,0,-1,83,254,346,683,1850,vader overleden,vader overleden,koopman,zonder,zonder,oom/neef man,koopman,broer/zwager man,suikerraffinadeurs,broer/zwager vrouw,koopman,broer/zwager vrouw,geen of onbekend,31,203202,25,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
203251,10,Amsterdam,1835,Ned. Israelitisch,gehuwd,238,makelaar,1838,steden Nederland,Ned. Israelitisch,0,2,0,-1,0,84,38,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203252,-1,-1,-1,-1,-1,-1,-1
203301,13,platteland Nederland,1846,Nederlands Hervormd,gehuwd,warenhandel,koopman,1849,Amsterdam,Nederlands Hervormd,2,3,1,ander familielid,0,90,119,209,1878,arts,slager,reiziger,zonder,arts,vader man,hoofdarbeider,broer/zwager man,slager,broer/zwager vrouw,commissionair,broer/zwager vrouw,geen of onbekend,32,203302,29,3,Amsterdam,buiten asd of dood,0,in Amsterdam,152
203351,33,Amsterdam,1821,Rooms Katholiek,gehuwd,zonder beroep,zonder,1834,steden Nederland,Rooms Katholiek,8,2,0,-1,94,272,0,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203352,-1,-1,-1,-1,-1,-1,-1
203401,18,steden Nederland,1824,Ned. Israelitisch,gehuwd,overigen,overigen,1826,Amsterdam,Ned. Israelitisch,3,0,0,-1,120,3,5,128,1850,vader overleden,vader overleden,ambachtsman,zonder,"losse arb., venter",geen familie,ambachtsman,geen familie,"losse arb., venter",geen familie,"losse arb., venter",geen familie,geen of onbekend,27,203402,23,3,Amsterdam,buiten asd of dood,0,buiten asd of dood,0
203451,1,Amsterdam,1844,Waals Hervormd,gehuwd,kleding,ambachtsman,1845,Amsterdam,Nederlands Hervormd,7,3,0,-1,13,193,22,227,1870,timmerman,schipper,ambachtsman,zonder,timmerman,broer/zwager man,timmerman,broer/zwager vrouw,zonder,geen familie,huispersoneel,geen familie,"f.4,-",25,203452,25,3,Amsterdam,in Amsterdam,0,in Amsterdam,0
203501,40,Amsterdam,1829,Nederlands Hervormd,gehuwd,132,ambachtsman,1829,platteland Nederland,Nederlands Hervormd,3,0,0,-1,133,4,1,138,1853,artistiek beroep,timmerman,ambachtsman,zonder,artistiek beroep,broer/zwager man,ambachtsman,geen familie,apotheker,geen familie,bakker,geen familie,"f.4,-",23,203502,24,3,Amsterdam,in Amsterdam,0,in Amsterdam,0
203551,20,Amsterdam,1840,Ned. Israelitisch,gehuwd,12,diamantbewerking,1847,Amsterdam,Ned. Israelitisch,8,1,0,-1,37,175,88,300,1865,ambachtsman,vader overleden,bakker,dienstbode,onderwijzer,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,zonder,geen familie,geen of onbekend,22,203552,23,3,Amsterdam,in Amsterdam,0,buiten asd of dood,0
203601,42,platteland Nederland,1835,Nederlands Hervormd,gehuwd,238,makelaar,1839,platteland Nederland,Nederlands Hervormd,10,0,0,-1,104,166,320,591,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203602,-1,-1,-1,-1,-1,-1,-1
203651,36,Amsterdam,1851,Waals Hervormd,gehuwd,warenhandel,winkelier,1861,Amsterdam,Nederlands Hervormd,2,0,0,-1,0,126,14,140,1880,vader overleden,commissionair,winkelier,zonder,ambachtsman,broer/zwager man,koopman,oom/neef man,fabrikanten,oom/neef vrouw,koopman,geen familie,geen of onbekend,28,203652,29,3,Amsterdam,buiten asd of dood,0,in Amsterdam,41
203701,25,steden Nederland,1835,"Overig, zonder",gehuwd,zonder beroep,zonder,1837,steden Nederland,"Overig, zonder",5,0,1,ander familielid,0,149,0,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203702,-1,-1,-1,-1,-1,-1,-1
203751,41,Amsterdam,1824,Rooms Katholiek,gehuwd,zonder beroep,zonder,1826,Amsterdam,Rooms Katholiek,0,1,1,ander familielid,107,37,0,143,1858,vader overleden,zonder,240,dienstbode,werklieden,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,zonder,geen familie,geen of onbekend,34,203752,32,3,platteland Nederland,buiten asd of dood,0,buiten asd of dood,0
203801,2,Amsterdam,1842,Ned. Israelitisch,gehuwd,255,advocaat,1850,Amsterdam,Ned. Israelitisch,2,1,0,-1,44,161,79,284,1872,advocaat,vader overleden,advocaat,zonder,makelaar,broer/zwager man,advocaat,oom/neef man,fabrikanten,oom/neef vrouw,notaris,oom/neef vrouw,"f.25,-",29,203802,21,3,Amsterdam,in Amsterdam,96,buiten asd of dood,0
