caswgt,volgnr1y,buurty,huisnry,lftmy,gebplmy,bersmy,berpmy,aboeky,relimy,bsmy,lftvy,relivy,gebplvy,nrkindy,nrbodey,nrhgy,relhfdy,grondbly,pbly,patbly,jrhu1y,bervamy,bervavy,bermhuy,bergt1y,relgt1y,bergt2y,relgt2y,bergt3y,relgt3y,bergt4y,relgt4y,hulftmy,hulftvy,volgnr2y,bsvy,gebplv1y,jrhu2y,bervam2y,bervav2y,bermhu2y,bergt12y,relgt12y,bergt22y,relgt22y,bergt32y,relgt32y,bergt42y,relgt42y,hulftm2y,hulftv2y,bsv2y,gebplv2y,jrhu3y,bervam3y,bervav3y,bermhu3y,bergt13y,relgt13y,bergt23y,relgt23y,bergt33y,relgt33y,bergt43y,relgt43y,hulftm3y,hulftv3y,bsv3y,gebplv3y,tot3bly,grblgy,pblgy,patblgy,omvhhy,berpm00y,berpm0y,totbly,lftklasy
1,100551,N,64,65,Amsterdam,VERKEERSWEZEN,houtvlotter,als in bev.register,Rooms Katholiek,gehuwd,73,Rooms Katholiek,ov. Drenthe,4,1,0,-1,57,79,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,4,4,2,7,6,69,2,6
1,100601,LL,114,37,ov. N-Holl. steden,VERKEERSWEZEN,sleper,als in bev.register,Nederlands Hervormd,gehuwd,28,Hersteld Luthers,Amsterdam,4,0,1,ander familielid,0,118,26,1847,winkelier,vader overleden,sleper,bakker,oom/neef vrouw,bakker,oom/neef vrouw,ambachtsman,geen familie,ambachtsman,geen familie,30,21,106021,0,overig Utrecht,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,144,1,5,3,7,2,25,2,3
1,100651,VV,369,72,Amsterdam,360,zonder,zonder beroep,Doopsgezind,gehuwd,56,Doopsgezind,ov. Gelderland,2,0,0,-1,108,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,5,2,1,4,5,54,2,7
1,100701,V,412,68,Amsterdam,251,arts,als in bev.register,Ned. Israelitisch,gehuwd,46,Ned. Israelitisch,Amsterdam,10,1,0,-1,82,54,19,1824,vader overleden,693,arts,693,vader vrouw,arts,broer/zwager man,zonder,geen familie,arts,geen familie,38,22,100702,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,4,4,2,13,2,23,2,6
1,100751,W,649,33,Amsterdam,VERKEERSWEZEN,stalhouder,als in bev.register,Nederlands Hervormd,gehuwd,37,Evangelisch Luthers,Amsterdam,0,0,0,-1,0,189,38,1848,werklieden,slager,stalhouder,winkelier,oom/neef man,ambtenaar,geen familie,ov. zelfstandigen,geen familie,ambachtsman,geen familie,27,31,100752,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227,1,5,3,2,2,25,3,3
1,100801,N,426,40,Amsterdam,251,arts,als in bev.register,Gereformeerd,gehuwd,32,Gereformeerd,Amsterdam,2,2,1,ouder,53,142,19,1840,zonder,zonder,arts,arts,geen familie,directeur,geen familie,arts,geen familie,ambtenaar,geen familie,26,18,100802,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,214,4,5,2,7,2,23,3,4
1,100851,X,39,39,Amsterdam,BOUWBEDRIJVEN,"timmerman, makelaar",als in bev.register,Nederlands Hervormd,gehuwd,38,Nederlands Hervormd,Amsterdam,4,1,0,-1,77,88,33,1838,makelaar,zonder,makelaar,makelaar,vader man,zonder,vader vrouw,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,24,23,100852,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,198,4,4,3,7,2,21,2,3
1,100901,C,69,61,Amsterdam,WARENHANDEL,tabakskoopman,als in bev.register,Nederlands Hervormd,gehuwd,58,Nederlands Hervormd,Amsterdam,1,0,0,-1,84,24,6,1819,zonder,winkelier,winkelier,zonder,vader man,winkelier,vader vrouw,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,27,24,100902,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,114,4,3,2,3,6,61,2,6
1,100951,F,206,44,randgemeenten,BOUWBEDRIJVEN,timmerman,als in bev.register,Rooms Katholiek,gehuwd,52,Rooms Katholiek,Utrecht steden,4,0,0,-1,88,18,40,1835,timmerman,vader overleden,timmerman,timmerman,vader man,timmerman,broer/zwager man,zonder,broer/zwager man,ambachtsman,geen familie,25,33,100952,ongehuwd,Utrecht steden,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,4,2,3,6,2,21,2,4
1,101001,M,100,35,Amsterdam,VERKEERSWEZEN,cargadoors,als in bev.register,Evangelisch Luthers,ongehuwd,-1,-1,-1,0,0,0,-1,0,0,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,1,1,5,1,1,14,2,3
1,101051,L,641,45,Amsterdam,HOUTBEW,ambachtsman,als in bev.register,Rooms Katholiek,weduwnaar,-1,-1,-1,3,1,0,-1,192,50,51,1832,kantoorbediende,slager,kantoorbediende,240,geen familie,slager,broer/zwager vrouw,ambachtsman,geen familie,kantoorbediende,vader man,23,31,101052,weduwe,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,5,4,4,5,2,21,3,4
1,101101,RR,86,38,Amsterdam,151,ambachtsman,als in bev.register,Nederlands Hervormd,gehuwd,36,Nederlands Hervormd,overig Utrecht,4,2,0,-1,43,59,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,161,3,4,4,8,2,21,2,3
1,101151,RR,165,37,ov. N-Holl. steden,360,zonder,geen,Nederlands Hervormd,gehuwd,27,Nederlands Hervormd,ov. Gelderland,2,3,0,-1,0,170,0,1852,vader overleden,commissionair,zonder,fabrikanten,broer/zwager man,koopman,broer/zwager vrouw,timmerman,geen familie,arts,geen familie,35,25,101152,ongehuwd,ov. Gelderland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,1,5,1,7,5,54,2,3
1,101201,R,81,37,Amsterdam,WARENHANDEL,koopman,als in bev.register,Nederlands Hervormd,weduwnaar,-1,-1,-1,2,1,3,ander familielid,128,30,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101202,-1,-1,1849,ambachtsman,koopman,zonder,ambachtsman,vader man,schipper,oom/neef vrouw,zonder,7,ambachtsman,geen familie,32,29,weduwe,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,216,5,3,4,7,6,61,3,3
1,101251,Y,66,33,Belgie,324,hoogleraar,als in bev.register,Nederlands Hervormd,gehuwd,30,Nederlands Hervormd,Gelderland steden,3,2,0,-1,0,138,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138,1,5,1,7,4,42,2,3
1,101301,LL,371,28,Amsterdam,WARENHANDEL,tabakskoopman,als in bev.register,Nederlands Hervormd,weduwnaar,-1,-1,-1,0,0,2,geen familie,0,109,26,1850,zonder,vader overleden,koopman,ambtenaar,oom/neef man,koopman,oom/neef man,zonder,broer/zwager vrouw,predikant,broer/zwager vrouw,25,27,101302,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,1,5,3,3,6,61,2,2
1,101351,KK,195,42,Amsterdam,WARENHANDEL,koopman,als in bev.register,Doopsgezind,weduwnaar,-1,-1,-1,3,4,0,-1,210,287,755,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1252,5,6,6,8,6,61,5,4
1,101401,Q,264,48,Amsterdam,WARENHANDEL,koopman,als in bev.register,Ned. Israelitisch,gehuwd,41,Ned. Israelitisch,Amsterdam,7,3,0,-1,0,68,79,1838,koopman,vader overleden,commissionair,koopman,vader man,zonder,broer/zwager man,commissionair,broer/zwager vrouw,vrij beroep,geen familie,32,26,101402,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,147,1,4,4,12,6,61,2,4
1,101451,H,111,58,Amsterdam,WARENHANDEL,koopman,anders dan bev.reg.,Ned. Israelitisch,gehuwd,52,Ned. Israelitisch,Utrecht steden,4,0,1,ouder,63,73,38,1821,koopman,koopman,koopman,koopman,vader man,koopman,vader vrouw,zonder,geen familie,arts,geen familie,26,20,101452,ongehuwd,Utrecht steden,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,4,4,3,7,6,61,2,5
1,101501,NN,285,39,Amsterdam,BOUWBEDRIJVEN,timmerman,geen,Gereformeerd,gehuwd,44,Gereformeerd,Amsterdam,2,0,0,-1,116,11,13,1844,zonder,zonder,werklieden,zonder,broer/zwager man,koopman,broer/zwager man,ambachtsman,oom/neef man,bakker,geen familie,29,34,101502,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,5,2,2,4,2,21,2,3
1,101551,C,548,45,Amsterdam,WARENHANDEL,koopman,als in bev.register,Rooms Katholiek,gehuwd,32,Rooms Katholiek,Amsterdam,3,2,0,-1,92,182,45,1835,vader overleden,vader overleden,koopman,winkelier,broer/zwager vrouw,winkelier,geen familie,koopman,geen familie,koopman,geen familie,26,20,101552,ongehuwd,Amsterdam,1850,vader overleden,vader overleden,koopman,koopman,geen familie,koopman,broer/zwager man,winkelier,7,koopman,geen familie,41,30,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,319,4,5,3,7,6,61,3,4
1,101601,D,25,64,Amsterdam,WARENHANDEL,koopman,als in bev.register,Nederlands Hervormd,weduwnaar,-1,-1,-1,3,1,0,-1,69,79,21,1812,vader overleden,ambachtsman,werklieden,overigen,geen familie,koopman,geen familie,ambachtsman,geen familie,onderwijzer,geen familie,23,21,101602,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,169,4,4,3,5,6,61,2,6
1,101651,AA,515,31,ov. N-Holl. steden,CHEM BEDR,apotheker,als in bev.register,Rooms Katholiek,gehuwd,34,Rooms Katholiek,Amsterdam,0,3,0,-1,70,96,38,1848,makelaar,apotheker,apotheker,zonder,broer/zwager man,geemployeerde,oom/neef man,drogist,broer/zwager vrouw,ambachtsman,geen familie,26,29,101652,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,4,4,3,5,2,23,3,3
1,101701,GG,444,41,Amsterdam,TUSSENHANDEL,commissionair,anders dan bev.reg.,Nederlands Hervormd,gehuwd,43,Evangelisch Luthers,Amsterdam,4,2,0,-1,78,48,14,1835,zonder,ambtenaar,winkelier,zonder,vader man,kantoorbediende,broer/zwager vrouw,fabrikanten,broer/zwager vrouw,kantoorbediende,broer/zwager vrouw,23,24,101702,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,4,3,2,8,6,65,2,4
1,101751,JJ,438,39,Amsterdam,WARENHANDEL,koopman,anders dan bev.reg.,Nederlands Hervormd,gehuwd,29,Nederlands Hervormd,Z-Holl. steden,3,2,0,-1,246,246,230,1847,ambachtsman,ambtenaar,zonder,zonder,broer/zwager man,zonder,broer/zwager man,predikant,geen familie,zonder,geen familie,33,23,101752,ongehuwd,Z-Holl. steden,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,722,5,5,5,7,6,61,4,3
1,101801,CC,733,63,Amsterdam,360,zonder,zonder beroep,Nederlands Hervormd,weduwnaar,-1,-1,-1,0,1,0,-1,137,221,0,1816,vader overleden,directeur,suikerraffinadeurs,directeur,vader vrouw,directeur,broer/zwager vrouw,ambachtsman,oom/neef man,stadhuisambtenaar,stadhuisambtenaar,36,28,101802,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,358,5,5,1,2,5,54,3,6
1,101851,KK,334,40,Amsterdam,VERZEKERINGSWEZEN,assuradeurs,als in bev.register,Gereformeerd,gehuwd,27,Gereformeerd,Amsterdam,3,3,2,ander familielid,178,259,129,1846,vader overleden,vader overleden,advocaat,lid Staten-Generaal,oom/neef vrouw,zonder,oom/neef vrouw,zonder,oom/neef man,koopman,broer/zwager vrouw,32,19,101852,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,566,5,6,5,10,1,12,4,4
1,101901,X,600,46,overig Utrecht,BOUWBEDRIJVEN,ambachtsman,als in bev.register,Nederlands Hervormd,gehuwd,44,Nederlands Hervormd,Amsterdam,6,0,0,-1,77,28,8,1829,vader overleden,vader overleden,ambachtsman,schipper,broer/zwager vrouw,werklieden,broer/zwager vrouw,ambachtsman,broer/zwager vrouw,ambachtsman,geen familie,22,20,101902,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,4,3,2,8,2,21,2,4
1,102001,Z,659,42,Amsterdam,TUSSENHANDEL,commissionair,zonder beroep,Nederlands Hervormd,ongehuwd,-1,-1,-1,0,1,2,ander familielid,0,152,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,1,5,3,4,6,65,2,4
1,102051,L,225,30,Zeeland steden,CHEM BEDR,apotheker,als in bev.register,Nederlands Hervormd,gehuwd,22,Nederlands Hervormd,overig Utrecht,1,4,1,geen familie,115,111,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,234,5,5,2,8,2,23,3,3
1,102101,U,97,29,Amsterdam,TEXTIEL,ambachtsman,als in bev.register,Remonstrants,gehuwd,-1,Evangelisch Luthers,-1,0,1,0,-1,50,115,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,217,4,5,4,3,2,21,3,2
1,102151,T,247,51,Amsterdam,VOEDINGS EN GENOTMID,slager,als in bev.register,Hersteld Luthers,gehuwd,49,Hersteld Luthers,Amsterdam,4,2,1,ander familielid,118,35,38,1826,vader overleden,ambachtsman,slager,ambachtsman,vader vrouw,ambachtsman,broer/zwager vrouw,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,stadhuisambtenaar,24,22,102152,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,191,5,3,3,9,2,21,2,5
1,102201,R,286,42,Amsterdam,BOEKDRUKKERY,ambachtsman,geen,Rooms Katholiek,gehuwd,41,Rooms Katholiek,Amsterdam,4,1,0,-1,306,228,213,1837,winkelier,houtvlotter,winkelier,zonder,broer/zwager man,houtvlotter,broer/zwager vrouw,commissionair,geen familie,winkelier,geen familie,26,25,102202,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,747,6,5,5,7,2,21,4,4
1,102251,L,552,42,Amsterdam,WARENHANDEL,drogist,als in bev.register,Nederlands Hervormd,gehuwd,39,Nederlands Hervormd,ov. N-Holland,5,1,0,-1,52,84,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,4,4,3,8,2,22,2,4
1,102301,CC,21,60,Amsterdam,WARENHANDEL,winkelier,als in bev.register,Nederlands Hervormd,weduwnaar,-1,-1,-1,3,1,0,-1,154,46,9,1825,vader overleden,vader overleden,winkelier,ambachtsman,broer/zwager man,ambtenaar,geen familie,ambachtsman,geen familie,ambachtsman,geen familie,31,24,102302,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209,5,3,2,5,2,22,3,6
1,102351,SS,266,62,Z-Holl. steden,324,hoogleraar,als in bev.register,Nederlands Hervormd,gehuwd,51,Nederlands Hervormd,ov. Gelderland,3,1,0,-1,0,187,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,187,1,5,1,6,4,42,2,6
